Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2019-06-26,709.37,2,-0.65,-0.0009,710.15,713.57,706.44,981440876,4747047714141,242791007408047.0
2019-06-27,698.21,2,-11.16,-0.0157,711.18,713.14,694.53,909979154,5131838476368,239089172765087.0
2019-06-28,690.53,2,-7.68,-0.011,698.63,700.42,687.29,784769785,4241075097229,236405674233134.0
2019-07-01,696.0,1,5.47,0.0079,696.38,697.97,692.76,734433278,5156354340512,238458830094666.0
2019-07-02,696.25,1,0.25,0.0004,695.8,699.44,693.19,696445726,4052249681800,238565438926786.0
2019-07-03,693.04,2,-3.21,-0.0046,697.68,698.89,689.86,676298786,3979382946906,237389805604275.0
2019-07-04,691.27,2,-1.77,-0.0026,693.96,694.63,682.73,763516530,4132922883851,236950136647970.0
2019-07-05,694.17,1,2.9,0.0042,692.86,694.39,686.93,729813499,4048011198486,237965631550822.0
2019-07-08,668.72,2,-25.45,-0.0366999999999999,691.97,691.97,668.72,766598859,4249617551670,229212801240612.0
2019-07-09,657.8,2,-10.92,-0.0163,670.76,675.09,657.77,879148637,4125586247927,225546659345829.0
2019-07-10,666.9,1,9.1,0.0138,662.3,670.68,660.62,774833232,3861175800149,228676544330116.0
2019-07-11,677.09,1,10.19,0.0153,669.98,677.11,668.42,791145307,4152966756187,232180143981602.0
2019-07-12,681.17,1,4.08,0.006,677.87,682.65,673.76,735655717,4135928126626,234104173281677.0
2019-07-15,674.79,2,-6.38,-0.0093999999999999,682.36,682.36,671.71,715663293,4212000125404,231859260272464.0
2019-07-16,674.42,2,-0.37,-0.0005,675.67,679.69,672.77,824276679,4586564165414,231884531075356.0
2019-07-17,666.28,2,-8.14,-0.0121,673.08,673.34,661.93,901090508,4235393318706,229203214099759.0
2019-07-18,665.15,2,-1.13,-0.0017,665.09,669.47,661.82,837117059,4258998337436,228809066865268.0
2019-07-19,674.06,1,8.91,0.0134,668.2,674.06,668.2,756214631,3949976654904,231949931597697.0
2019-07-22,674.78,1,0.72,0.0011,674.0,675.48,671.44,644965353,3357187145112,232164617476852.0
2019-07-23,668.65,2,-6.13,-0.0091,675.84,678.27,666.79,894110668,4590939822447,230134682111962.0
2019-07-24,659.83,2,-8.82,-0.0132,670.31,672.36,659.26,971455779,4976197605457,227291906032066.0
2019-07-25,652.4,2,-7.43,-0.0113,660.3,661.62,647.38,871058203,4177256663695,225066018857751.0
2019-07-26,644.59,2,-7.81,-0.012,650.3,652.38,640.43,886276587,3969501849022,222533551234131.0
2019-07-29,618.78,2,-25.81,-0.04,643.34,643.34,618.78,795264713,3783791120835,213640714342623.0
2019-07-30,625.64,1,6.86,0.0111,620.33,630.61,620.33,716177618,3566194812620,216345978315231.0
2019-07-31,630.18,1,4.54,0.0073,625.05,631.43,610.7,770559301,4228756057098,217992287425957.0
2019-08-01,622.26,2,-7.92,-0.0126,627.94,634.44,622.25,694237671,4161131559796,215506175554230.0
2019-08-02,615.7,2,-6.56,-0.0105,612.01,622.36,607.01,601247078,3703940738704,213545670041730.0
2019-08-05,569.79,2,-45.91,-0.0746,614.69,615.23,569.78,821183035,4773105529178,197856076764247.0
2019-08-06,551.5,2,-18.29,-0.0321,555.07,577.51,540.83,973681906,5611504802381,191455864980664.0
2019-08-07,564.64,1,13.14,0.0237999999999999,562.47,567.52,554.18,835978098,4843612803632,195944703306167.0
2019-08-08,585.44,1,20.8,0.0368,571.59,585.44,571.0,929189336,4831848776070,203396203114656.0
2019-08-09,590.04,1,4.6,0.0079,590.51,593.28,585.94,690855034,4157334385171,204947491024048.0
2019-08-12,594.17,1,4.13,0.0069999999999999,590.43,594.7,585.07,707419095,3440960280596,206537033466707.0
2019-08-13,590.75,2,-3.42,-0.0058,589.71,593.98,588.47,755896855,3792005148606,204835997368035.0
2019-08-14,597.15,1,6.4,0.0108,600.35,601.46,596.23,793565045,4105968772649,207100532953758.0
2019-08-16,591.57,2,-5.58,-0.0093,590.04,592.82,587.49,684048938,3767531763396,205179214565609.0
2019-08-19,594.65,1,3.08,0.0052,596.42,597.59,591.21,706961204,3393083985576,206354181149146.0
2019-08-20,607.01,1,12.36,0.0208,597.15,607.87,595.62,914620469,3639424352108,210746710801948.0
2019-08-21,615.96,1,8.95,0.0147,605.83,615.96,604.83,821038397,3531843672807,213809009611395.0
2019-08-22,612.25,2,-3.71,-0.006,618.34,618.73,611.67,850917587,3931125815518,212800968802061.0
